time,heart_rate,power,cadence,temperature,altitude,hr_slope_time,hr_slope_power,lactate
0,111.49014245903369,113.99355436586002,73.64964345005124,17.618438488424523,99.13650639503507,,,
10,109.66028217156152,109.54663712942799,74.73598768359399,17.834930004851106,100.048876591141,-0.18298602874721723,0.4114896208278334,1.0218587206001946
20,112.09321576445222,101.19690429980234,73.46521020805012,17.931292907329684,100.1781770322046,0.24329335928907056,-0.29137861564365564,1.513107203247834
30,114.7943147944493,94.43153312384517,74.459152015797,18.39855855248906,100.71287058608364,0.27010990299970816,-0.39925363438982747,1.9217716190746525
40,109.5978401761303,108.1834343373371,71.31287076619253,18.13933865293478,98.9534619570395,-0.5196474618319001,-0.3778731782352219,1.2570801664761733
50,109.67296450452783,105.436355355719,75.551712539871,17.76793872121506,100.99296767424774,0.007512432839752137,-0.02734698525241205,1.0
60,115.18808889697262,110.75373400207913,75.1525611008746,18.13924929992557,97.7760888488777,0.551512439244479,1.0371885771610463,3.060658168599808
70,112.82782971298425,108.4538201189218,73.5409979130388,17.739588251261377,99.93067600819676,-0.23602591839883616,1.0262380697264146,1.2567354660067689
80,109.19217744279574,112.89792955559575,76.51869153706501,18.272594266833472,100.15236679818909,-0.3635652270188515,-0.8180834252608995,1.0
90,112.30335580643357,97.35035058709703,77.10036550047835,17.968838132699485,101.35404754679196,0.3111178363637833,-0.20010693432986942,2.0474781991899618
100,109.36049767231337,116.17694365934626,72.0351305215123,18.051342832322234,100.82343165347767,-0.29428581341202004,-0.15631389719991506,1.4330133815403843
110,109.42863656511506,105.2792993502273,73.74982571814284,18.342236406585517,99.4753178270246,0.006813889280168439,-0.006252625876646291,1.2728042184985862
120,111.62678771559901,124.35621232985625,73.7620156007257,17.826651370367234,99.97596783514395,0.21981511504839518,0.11522572613458065,1.8150888617226855
130,105.23613524200258,97.01202572300824,73.44551912310759,17.81166745406849,101.23972105058844,-0.6390652473596432,0.23371155871193378,1.0
140,105.87629755351195,121.5638422358567,77.00930003421385,17.9813782328289,101.04205377925656,0.06401623115093713,0.026073928630672254,1.272766044634508
150,109.43926353840321,106.48361233913099,74.98772309782976,18.31278087530897,100.62207709156546,0.35629659848912637,-0.23626735197617055,2.0733129268262713
160,108.16270784019792,98.29062476866032,74.87137071777917,17.808242897016743,100.8004474917693,-0.12765556982052856,0.15581076954226983,1.0
170,112.2190182740621,100.2662467645619,71.41770069661192,17.552687999497007,102.05752935852065,0.4056310433864169,2.053181449831484,2.768826983788778
180,108.62727912478772,102.2019323234622,76.7212865108689,18.035894354444327,100.92374886857223,-0.35917391492743744,-1.8555385365972892,1.122235732570466
190,107.18951532242056,109.94736516972488,72.99695868576853,18.243481293115316,101.43343027749245,-0.1437763802367158,-0.18562730203785935,1.1554300749965958
200,115.89844780826617,111.234360886361,75.62036576103317,18.380192490087907,103.77153818968215,0.8708932485845609,6.766869829690262,3.808562401611382
210,110.89924767511697,100.56930626692052,76.08027940144191,18.054514874730067,100.25799904479776,-0.4999200133149202,0.46874585377524053,1.0
220,111.85423626571541,106.36306068399678,78.27186774222785,18.071868832730953,99.9099190301871,0.09549885905984468,0.1648306990340763,1.3922156735227087
230,107.45248216808635,128.32961049302554,72.95793477733734,18.39194130801231,102.62543150664045,-0.4401754097629066,-0.20038440883510267,1.0
240,110.16865362822625,124.48263890821431,69.56157628895895,17.794219828229085,101.24327886062781,0.2716171460139904,-0.7060544639487341,2.4023846532025974
250,112.20964464600648,111.87074420424783,75.99332471513301,18.097471020138574,101.68376447425938,0.20409910177802287,-0.16183064207936418,1.518036170703085
260,108.49897121968505,108.1878425894898,79.25167301367236,18.220266960167194,101.30092570395097,-0.37106734263214347,1.007540742183317,1.0
270,113.15412108206405,109.30842137529072,78.15356838155455,18.279032933446196,101.90236202139465,0.46551498623790055,4.154237008022431,2.473251671167615
280,110.30018603234569,114.54358813571257,76.12001953124997,18.09423485755802,103.84078035433858,-0.2853935049718359,-0.5451469227865418,1.383752805964231
290,111.30209592779734,98.48078305672466,74.74245335446163,18.21009140554437,103.12445078094044,0.10019098954516466,-0.0623745286408453,1.4317908338503647
300,110.44713241556406,106.43524363477556,77.36499594402538,17.712544739527612,103.26462591428938,-0.0854963512233283,-0.10748227410824342,1.0
310,117.88416188085414,92.62346857053342,73.82868337636684,18.08556753475045,101.06625542668984,0.7437029465290081,-0.538455732930672,3.7043377148077314
320,112.3619107281886,113.6018408356624,76.75351633951324,18.314925966735117,101.41140882600969,-0.5522251152665533,-0.26323544471774013,1.3025102589484554
